Theta,Phi,Psi,Px,Py,Pz,ActuatorLengths_1,ActuatorLengths_2,ActuatorLengths_3,ActuatorLengths_4,ActuatorLengths_5,ActuatorLengths_6
-45,-45,-45,-2.5,-2.5,-2.5,7.285747174,8.20994101,7.345246242,4.902312969,4.35429426,6.365027123
-45,-45,-45,-2.5,-2.5,1.5,8.011008987,7.629974193,6.30275621,1.615979136,3.990679162,7.946775559
-45,-45,-45,-2.5,-2.5,5.5,10.61896766,9.136439604,6.750397459,3.650202122,6.810398698,10.45596964
-45,-45,-45,-2.5,-2.5,9.5,13.99799326,12.18680533,9.356868719,7.361785849,10.53993109,13.8942339
-45,-45,-45,-2.5,-0.5,-2.5,6.387508027,6.325407614,6.357651783,4.808425329,5.645219283,6.9178424
-45,-45,-45,-2.5,-0.5,1.5,7.39584202,5.614099271,3.999354339,1.523840578,5.161854508,8.192755195
-45,-45,-45,-2.5,-0.5,5.5,9.957439947,7.57496018,5.185571056,3.558234396,7.692234857,10.488187
-45,-45,-45,-2.5,-0.5,9.5,13.30122801,10.8704826,8.05682953,7.50922008,10.98244243,13.9198345
-45,-45,-45,-2.5,1.5,-2.5,6.121482071,4.762682984,5.276380484,5.606916364,7.089408153,7.847617512
-45,-45,-45,-2.5,1.5,1.5,7.007335329,4.097056969,2.373676777,3.242685415,7.063070724,9.043037844
-45,-45,-45,-2.5,1.5,5.5,9.523657446,6.488353002,3.896138967,4.712573811,9.184283258,11.227272
-45,-45,-45,-2.5,1.5,9.5,12.75366602,9.88349259,7.352654674,8.342240665,11.7973627,14.48108586
-45,-45,-45,-0.5,-2.5,-2.5,5.651332826,7.816982628,8.148684221,5.468825228,3.221714189,4.561036679
-45,-45,-45,-0.5,-2.5,1.5,6.696836475,7.285539083,6.885881938,3.238399473,2.975693004,6.102588464
-45,-45,-45,-0.5,-2.5,5.5,9.364029778,9.020969757,7.476345547,4.608888554,6.243589922,8.891540458
-45,-45,-45,-0.5,-2.5,9.5,12.67769141,11.75138765,9.889741629,8.373687274,9.919001088,12.73220002
-45,-45,-45,-0.5,-0.5,-2.5,4.48196896,5.687410879,6.972025922,5.432202291,4.935223521,5.14451524
-45,-45,-45,-0.5,-0.5,1.5,5.764072824,5.302055047,5.169041368,3.190492888,4.685016371,6.571899649
-45,-45,-45,-0.5,-0.5,5.5,9.088664338,7.373501866,5.751756183,4.562929956,7.338528766,9.266567518
-45,-45,-45,-0.5,-0.5,9.5,12.65154348,10.6434017,8.967298505,7.765398391,10.61429031,12.69677499
-45,-45,-45,-0.5,1.5,-2.5,4.212618823,4.269516882,6.349889295,6.162842735,6.617749955,6.456361622
-45,-45,-45,-0.5,1.5,1.5,5.494515593,3.423617947,4.002532976,4.141261605,6.472655601,7.442502796
-45,-45,-45,-0.5,1.5,5.5,8.381001658,6.210339613,5.000793799,5.42662998,8.313986739,10.38072915
-45,-45,-45,-0.5,1.5,9.5,12.36217799,9.749956315,8.12078976,8.474291725,11.24688103,13.45225229
-45,-45,-45,1.5,-2.5,-2.5,4.425951584,7.820414519,9.094740029,6.820417746,3.208727472,2.60998133
-45,-45,-45,1.5,-2.5,1.5,5.804350997,7.567021,7.940185202,5.0684017,3.038410528,4.623910902
-45,-45,-45,1.5,-2.5,5.5,8.731311824,9.337546819,8.467693965,6.056769392,6.201126571,8.15077261
-45,-45,-45,1.5,-2.5,9.5,12.21964568,12.39547195,10.94105259,9.015080784,9.826653433,11.9588528
-45,-45,-45,1.5,-0.5,-2.5,2.845267859,6.279040633,8.015495068,6.614392561,4.762483072,3.680511108
-45,-45,-45,1.5,-0.5,1.5,4.624964157,5.743745738,6.642952503,5.152460305,4.624003714,5.393762683
-45,-45,-45,1.5,-0.5,5.5,7.944746493,7.71262071,7.207097977,6.082678412,7.251733221,8.819156322
-45,-45,-45,1.5,-0.5,9.5,11.73777066,11.02906509,9.831493473,8.958963953,10.62079389,12.36585377
-45,-45,-45,1.5,1.5,-2.5,2.025250809,4.650214766,7.516418745,7.542636289,6.849544452,5.351256031
-45,-45,-45,1.5,1.5,1.5,4.122442954,4.003720471,5.807542604,5.763319085,6.624164845,6.596589203
-45,-45,-45,1.5,1.5,5.5,7.897124875,6.520332401,6.55875818,6.633354429,8.487582586,9.461140932
-45,-45,-45,1.5,1.5,9.5,11.68760267,10.27453155,9.018864647,9.328681486,11.45286478,12.73910595
-45,-45,-15,-2.5,-2.5,-2.5,6.23718905,6.651333835,7.273221462,5.015585416,3.561666183,5.861226464
-45,-45,-15,-2.5,-2.5,1.5,7.368232384,6.20033957,5.105331047,2.081045789,3.316227463,6.921290543
-45,-45,-15,-2.5,-2.5,5.5,9.810745824,8.111409726,6.084844754,3.845612563,6.299020753,9.59311247
-45,-45,-15,-2.5,-2.5,9.5,13.08169474,11.02796722,8.814820771,7.259560614,10.06517179,13.43390758
-45,-45,-15,-2.5,-0.5,-2.5,5.46497255,5.176560507,5.850516694,4.64128542,4.464726422,5.928746812
-45,-45,-15,-2.5,-0.5,1.5,6.618438489,4.600265231,3.315218771,0.769822573,4.158019365,7.202940139
-45,-45,-15,-2.5,-0.5,5.5,9.465084758,6.842973371,4.452911929,3.395560557,7.13400883,9.566333813
-45,-45,-15,-2.5,-0.5,9.5,13.35754697,10.26826206,7.95340635,7.187568164,10.36293711,13.26829621
-45,-45,-15,-2.5,1.5,-2.5,5.585308741,3.80468134,5.075766453,4.972693321,5.878314811,7.114080816
-45,-45,-15,-2.5,1.5,1.5,6.649009915,3.122828087,1.602987078,2.164403424,5.715206581,7.898951394
-45,-45,-15,-2.5,1.5,5.5,9.210684934,6.050230504,3.407043853,3.973469195,8.012413112,10.65358949
-45,-45,-15,-2.5,1.5,9.5,12.94650533,9.876062476,7.3740949,7.701823632,11.0162562,13.64010667
-45,-45,-15,-0.5,-2.5,-2.5,4.712318266,6.128926359,7.554992681,5.401675301,2.517713193,3.763532527
-45,-45,-15,-0.5,-2.5,1.5,5.858418031,5.803412796,5.60958584,3.224600974,1.935487837,5.145085088
-45,-45,-15,-0.5,-2.5,5.5,8.916372662,7.614125655,6.630702854,4.659473797,5.909320871,8.590181449
-45,-45,-15,-0.5,-2.5,9.5,12.5940579,10.87847381,9.318491138,8.087764253,9.936795848,12.39840303
-45,-45,-15,-0.5,-0.5,-2.5,3.617811256,4.65964761,6.150469119,5.187279507,3.50112468,4.243033996
-45,-45,-15,-0.5,-0.5,1.5,5.166381155,3.938553311,4.14503573,2.50910849,3.278713019,5.726374858
-45,-45,-15,-0.5,-0.5,5.5,8.474148496,6.46047718,5.106142046,4.162035204,6.146000328,9.114460773
-45,-45,-15,-0.5,-0.5,9.5,12.04060261,9.76400947,8.212668666,7.590116471,10.12145304,12.48650154
